,Year,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein,Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis
30,1990,172206.0,24312.0,6573.0,215934.0,588508.0,27182.0,50714.0,77668.0,265452.0,1068.0,417463.0,612041.0,767792.0,636099.0,4098.0,40058.0,290.0,931601.0,4236.0,250601.0,74534.0,74790.0,64609.0,17453.0,208628.0,130403.0,123351.0,119201.0,198446.0,19552.0,17666.0
31,1991,174087.0,25173.0,6754.0,216068.0,607330.0,27357.0,52671.0,78143.0,343399.0,1121.0,423140.0,625730.0,774437.0,644498.0,4199.0,41029.0,574.0,953765.0,4318.0,257246.0,30864.0,76945.0,66230.0,17461.0,208785.0,132658.0,125505.0,121587.0,202452.0,19696.0,17844.0
32,1992,178190.0,26141.0,6988.0,217480.0,620445.0,27469.0,56013.0,79202.0,433895.0,1199.0,430416.0,643699.0,784696.0,654317.0,4323.0,42534.0,30.0,942943.0,4433.0,265162.0,9683.0,79846.0,68274.0,17712.0,210192.0,136413.0,128229.0,124268.0,207105.0,20040.0,18069.0
33,1993,179299.0,27051.0,7182.0,217090.0,638935.0,27435.0,59415.0,79594.0,535470.0,1225.0,435082.0,656275.0,790421.0,665821.0,4377.0,42902.0,115.0,939403.0,4477.0,270050.0,18618.0,81711.0,69626.0,17734.0,209852.0,136847.0,129724.0,126184.0,210463.0,20066.0,18164.0
34,1994,178971.0,28014.0,7414.0,215874.0,650973.0,27428.0,58643.0,80682.0,645341.0,1290.0,444128.0,673422.0,798497.0,677899.0,4485.0,44173.0,892.0,958854.0,4573.0,277583.0,532119.0,84769.0,71447.0,17835.0,208675.0,139782.0,132378.0,128478.0,214555.0,20307.0,18447.0
35,1995,181068.0,28896.0,7628.0,213775.0,668983.0,27334.0,59011.0,80878.0,760306.0,1340.0,453413.0,689162.0,805722.0,690353.0,4582.0,45298.0,324.0,950527.0,4659.0,284299.0,28496.0,87414.0,72963.0,17862.0,206636.0,142066.0,134766.0,130830.0,218580.0,20343.0,18793.0
36,1996,196542.0,29893.0,7886.0,210452.0,688268.0,27045.0,60209.0,81732.0,875836.0,1373.0,458276.0,709224.0,808447.0,702368.0,4683.0,46115.0,296.0,952899.0,4750.0,292146.0,55439.0,91209.0,74777.0,17815.0,203405.0,143610.0,137669.0,133001.0,222476.0,20342.0,19003.0
37,1997,186353.0,30890.0,8162.0,207241.0,708186.0,27287.0,61570.0,82906.0,989767.0,1461.0,461361.0,730919.0,812036.0,714742.0,4843.0,48221.0,853.0,949363.0,4812.0,302488.0,69745.0,96062.0,77039.0,18037.0,200289.0,148113.0,140773.0,135612.0,227076.0,20682.0,19258.0
38,1998,186059.0,31883.0,8386.0,204485.0,726403.0,27224.0,64521.0,85047.0,1101108.0,1509.0,466997.0,747403.0,815131.0,726950.0,4938.0,50023.0,275.0,944588.0,4909.0,310208.0,74054.0,99506.0,78881.0,18097.0,197634.0,151827.0,143155.0,138302.0,231909.0,21022.0,19560.0
39,1999,188150.0,32834.0,8559.0,200991.0,743180.0,27200.0,66899.0,87025.0,1203809.0,1543.0,469673.0,759038.0,817469.0,737415.0,4965.0,51001.0,706.0,935033.0,4958.0,315331.0,103105.0,101632.0,80166.0,18195.0,194314.0,154153.0,143858.0,140632.0,236196.0,21093.0,19735.0
