,Year,Deaths 70+ years,Deaths 50-69 years,Deaths Age: 15-49 years,Deaths 5-14 years,Deaths Under 5
30,1990,889126,979590,1047483,237234,3711448
31,1991,916882,1001821,1087278,233492,3760480
32,1992,946773,1027888,1162571,234343,3777655
33,1993,974524,1052828,1247963,238782,3811849
34,1994,1021494,1133973,1630932,315986,3955184
35,1995,1037122,1128076,1452785,248566,3885326
36,1996,1072818,1170151,1574678,260359,3929662
37,1997,1106304,1208706,1694910,265889,3940067
38,1998,1133234,1239264,1803763,271908,3956732
39,1999,1154600,1258979,1918276,281733,3973691
40,2000,1180312,1281709,2008408,285486,3968880
41,2001,1198746,1296016,2038365,281323,3948988
42,2002,1218261,1315257,2106601,285517,3923201
43,2003,1238102,1336154,2155187,288893,3894953
44,2004,1253409,1348209,2171581,288894,3845414
45,2005,1269269,1352509,2155920,288280,3792551
46,2006,1288697,1357960,2113417,286007,3729752
47,2007,1306134,1356111,2047755,284546,3659228
48,2008,1325418,1357021,1983192,283814,3586156
49,2009,1348371,1361780,1928677,283500,3516410
50,2010,1372718,1367299,1872753,279708,3432374
51,2011,1393854,1376021,1822285,276783,3347501
52,2012,1417410,1387271,1769578,273756,3262744
53,2013,1442224,1401212,1735087,273147,3180816
54,2014,1471183,1425907,1723647,273616,3097211
55,2015,1500042,1450262,1691464,269642,3006107
56,2016,1525027,1476889,1672444,266100,2910281
57,2017,1554091,1504444,1664479,263041,2797380
58,2018,1581275,1521039,1647682,256782,2690960
59,2019,1613443,1550139,1641740,250906,2611994
