,Location,Period,Value
3041,Lesotho,2018,998
8852,Guinea,2004,987
3003,Guinea,2004,987
8849,Guinea,2015,977
8848,Guinea,2016,977
2999,Guinea,2016,977
3000,Guinea,2015,977
6342,Togo,2015,97
2902,Côte d’Ivoire,2018,9647
3112,Malawi,2020,958
6352,Zimbabwe,2010,954
7546,Burkina Faso,2018,952
3131,Niger,2012,952
8958,Niger,2012,952
8820,Eritrea,2001,95
2963,Eritrea,2001,95
3161,Sierra Leone,2008,95
8977,Sierra Leone,2008,95
8957,Niger,2013,946
3130,Niger,2013,946
8851,Guinea,2005,940
3002,Guinea,2005,940
6283,Ethiopia,2020,9361
3068,Mali,2008,934
8905,Mali,2008,934
3179,Seychelles,2012,93
8990,Seychelles,2012,93
7625,United Republic of Tanzania,2014,929
7585,Mozambique,2020,918
8869,Kenya,2014,9149
3027,Kenya,2014,9149
8995,Seychelles,2007,91
3184,Seychelles,2007,91
2860,Benin,2018,908
8878,Liberia,2010,90
7558,Comoros,2018,90
3038,Liberia,2009,90
3037,Liberia,2010,90
8879,Liberia,2009,90
265,Mauritius,2002,9.87
264,Mauritius,2003,9.7
266,Mauritius,2001,9.27
267,Mauritius,2000,9.11
8883,Lesotho,2003,89
3043,Lesotho,2003,89
6255,Burundi,2018,889
6256,Burundi,2017,889
3124,Niger,2019,888
6269,Burkina Faso,2017,888
8951,Niger,2019,888
7606,Senegal,2016,887
7545,Burkina Faso,2019,884
8731,Angola,1997,881
2848,Angola,1997,881
8870,Kenya,2013,8682
