,Year,Population (historical estimates)
486,1990,638157571
487,1991,655040869
488,1992,671931834
489,1993,689140286
490,1994,706488557
491,1995,724331972
492,1996,742765067
493,1997,761224818
494,1998,779908311
495,1999,799099611
496,2000,818952374
497,2001,839464127
498,2002,860611762
499,2003,882349569
500,2004,904781595
501,2005,927898412
502,2006,951740562
503,2007,976461747
504,2008,1001981577
505,2009,1028200528
506,2010,1055233717
507,2011,1082676070
508,2012,1110797495
509,2013,1140180888
510,2014,1170299297
511,2015,1201108186
512,2016,1232111820
513,2017,1263333997
514,2018,1295265310
515,2019,1327701380
516,2020,1360677453
517,2021,1393676724
