,CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Angola,1.90859938,4.48351622,3.32946134,3.54797316,3.96720099,2.85219693,2.68553662,2.97438812,3.32290483,3.84260869,2.69510007,2.64560795,2.39574957,2.73282766,2.43412852,2.60579491,2.71314907,2.79150295,2.54010224,2.53335953
1,Burundi,6.17697144,6.40484381,6.47216082,6.31327724,7.7010417,8.42371273,9.94232273,10.58081913,9.23542213,10.35021877,11.27637577,10.06997776,8.52668476,8.53728485,7.31549168,6.42882729,7.71920919,7.90301847,8.2447691,7.99091434
2,Benin,3.10270309,3.24910021,3.04335403,3.0376544,3.0760572,2.93478322,2.97331023,2.8938241,2.69675088,2.82528329,2.99710441,3.09628272,3.41449857,2.85861206,2.66743827,2.90741682,2.73950028,2.61910868,2.50416446,2.38842916
3,Burkina Faso,2.9502635,2.88835382,2.97113252,3.14307165,4.21721363,3.95109105,4.51446247,5.23372936,4.64780807,5.08159304,5.2395854,4.6486845,4.60266972,5.56331158,5.00026941,5.13192463,5.95963097,6.02940798,4.90988731,5.46494246
4,Botswana,5.82726383,6.15671635,6.42154074,6.1761694,5.79530382,5.02535105,4.77373314,5.33311653,5.7820034,6.5250082,6.19402504,5.77690315,6.14145994,6.22438812,5.59793139,5.72629929,5.56052208,6.13453388,5.96867228,6.04836559
5,Central African Republic,4.27478456,3.95594192,4.22761345,4.39720249,4.30442286,4.36732149,4.44105434,4.7185154,4.08699083,4.81901073,3.8270402,3.87377,3.94020414,4.95162487,4.91660213,5.0343523,5.44400311,6.6654377,10.99530983,7.75300884
6,Cote d'Ivoire,6.12684488,6.01772738,5.90390921,5.47977018,5.47520828,5.00643015,4.76330471,4.55253553,4.56873417,4.46970177,4.41580963,4.39704227,4.42740583,3.71776819,3.73104811,3.21990895,3.35172296,3.30509853,3.11891103,3.29862952
7,Cameroon,4.29762173,4.0975132,4.29479742,4.26826382,4.01515007,4.09544468,4.02897263,3.95940948,3.82291627,3.73933601,3.75891471,4.01686049,4.0731349,3.78499365,3.95117664,3.74879193,3.72950816,3.49216461,3.46510625,3.59539533
8,"Congo, Dem. Rep.",1.55040038,2.70775008,2.6547749,3.81817865,4.42028952,4.25265551,4.39380932,4.33555222,4.98871946,4.54615879,3.86035585,3.26267195,3.30099416,3.56663251,3.97874045,3.96921349,4.36603069,4.15646648,3.30249262,3.53626084
9,"Congo, Rep.",1.50500607,2.18529677,1.70167685,1.91852152,1.92152369,1.71774054,1.7086128,1.90200078,2.23927021,2.14222002,1.8517288,1.75237262,1.90971029,1.94347048,1.97311711,2.45668483,2.79067516,2.51812744,1.93649173,2.08331084
10,Cabo Verde,4.43401194,4.75244379,4.7555151,4.50008631,4.37710667,4.27364111,4.48974991,4.18900156,3.58312869,3.88152456,4.47555733,4.30527449,5.13365459,5.28994226,5.32722235,4.8200655,4.84664345,5.27825785,5.26637983,4.93621731
11,Djibouti,2.93908072,2.8072207,3.58787632,3.97685766,3.32442927,3.22467232,3.48426819,3.41498637,3.19098687,3.21451879,3.06150365,3.3765645,3.299927,2.92013574,2.96522927,3.07556486,2.7274003,2.46476841,2.26254249,1.79826784
12,Algeria,3.48903275,3.83787704,3.7300415,3.60104108,3.5440731,3.2351613,3.35510182,3.8214159,4.20188379,5.3593955,5.11717176,5.26748085,6.00050974,6.03576279,6.54721403,6.9784894,6.60749578,6.27938414,6.16302586,6.24337101
13,"Egypt, Arab Rep.",4.92244291,5.40030336,5.5107379,5.2242527,4.85732365,4.92229176,4.84190083,4.44493246,4.46634817,4.37870121,4.1531949,4.35706949,4.71025944,4.91730928,5.02518845,5.33657265,5.36399841,5.63305616,4.947577,4.73997355
14,Eritrea,5.76670074,5.91931629,6.68851233,7.33703375,7.00984955,6.86417818,6.85840559,5.27863026,6.41520452,5.38878536,4.92946005,5.21969032,3.78068161,5.00735378,4.05707884,4.45335484,3.518888,3.72767901,4.12821102,4.45876694
15,Ethiopia,4.3650465,4.72316694,4.7126298,4.89970922,4.31281853,4.10098124,4.45757294,5.00128365,4.28063917,4.64983416,5.46637249,4.46897888,4.53959608,4.07506514,4.03363609,3.82317114,3.60033059,3.45336151,3.30818701,3.23808599
16,Gabon,2.90536737,3.15246463,3.33046246,3.53691506,3.33140016,2.93410254,3.14508867,3.16386676,2.79445171,3.83981347,2.47556782,2.55771661,2.42097521,2.8408711,2.53282118,2.6574378,3.10769749,2.78068829,2.74500299,2.76836205
17,Ghana,2.79087734,3.17252946,2.8882091,2.83229733,2.77140665,3.64265633,3.68296194,3.81368589,3.89917445,4.42220068,4.25117254,4.71008253,4.03214407,4.62300539,4.10044813,4.62171459,3.46157742,3.35796332,3.48865867,3.41858864
18,Guinea,4.74567652,4.88881445,5.3613739,4.7780695,4.78209734,4.04247189,3.61069894,3.43232441,3.26223779,3.57716823,3.42734981,3.78955078,3.50398302,3.46079683,4.78097677,5.80920601,5.39708233,3.91060591,3.63913226,3.98389959
19,"Gambia, The",6.63892317,5.70734835,6.35030413,5.56995296,5.54182816,5.72842979,6.19758415,5.67628479,5.46723223,5.18213415,5.08982468,5.49951601,5.1643424,3.91374874,4.451684,3.17612934,3.68266177,4.14472675,4.8878727,3.82171082
20,Guinea-Bissau,6.74484873,6.70832253,5.82295132,5.88066721,7.47920132,7.2509346,7.28979492,7.2952776,7.04291964,6.94844484,6.2611661,6.21634817,5.94403839,7.03947115,9.968973160000001,8.13228226,8.32881451,7.00049543,7.62560892,8.34976101
21,Equatorial Guinea,2.14653134,2.20352745,2.34720826,1.97840834,1.66348076,1.49993956,1.51855373,1.57114804,1.82898772,1.84398258,1.81856561,1.55349779,1.26357603,1.87566769,2.19292378,2.91533303,3.14450336,2.95976138,3.06170225,3.13503671
22,Kenya,4.63924408,4.80369139,4.95863724,5.16912365,5.34494877,5.31436443,5.87344933,5.99706697,6.04985189,6.02780342,6.11675262,5.81170082,5.61369753,5.51942158,5.4593358,5.21938562,5.14090776,4.1409831,4.30564117,4.59182692
